phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,total_customers,total_churned,churn_rate
1,0,Fiber optic,1,0,1,1,1,0,1,1,100.0
1,0,Fiber optic,0,1,0,1,0,1,4,3,75.0
1,0,Fiber optic,0,0,0,0,1,0,69,51,73.9
1,1,Fiber optic,0,0,0,0,0,1,77,56,72.7
0,102,DSL,0,0,0,0,0,1,18,13,72.2
0,102,DSL,0,0,1,0,1,0,7,5,71.4
1,1,Fiber optic,0,0,0,1,1,0,10,7,70.0
0,102,DSL,0,0,1,0,0,1,6,4,66.7
1,1,Fiber optic,0,0,0,0,1,1,110,73,66.4
1,0,Fiber optic,0,0,0,0,0,1,61,39,63.9
1,0,Fiber optic,1,0,0,0,1,0,8,5,62.5
1,1,Fiber optic,0,0,0,0,0,0,166,103,62.0
1,0,Fiber optic,0,0,0,0,1,1,71,43,60.6
1,0,Fiber optic,0,1,0,0,0,1,20,12,60.0
1,0,Fiber optic,0,0,0,0,0,0,233,138,59.2
1,1,Fiber optic,0,0,0,0,1,0,61,36,59.0
0,102,DSL,0,0,0,0,1,0,12,7,58.3
0,102,DSL,0,1,0,0,1,0,7,4,57.1
1,1,Fiber optic,0,0,1,0,1,1,104,58,55.8
1,0,Fiber optic,0,0,1,0,1,1,45,25,55.6
1,0,Fiber optic,0,1,0,0,0,0,48,26,54.2
1,0,Fiber optic,1,0,0,0,1,1,13,7,53.8
1,1,Fiber optic,0,1,1,0,0,0,23,12,52.2
1,1,Fiber optic,0,1,0,0,1,1,75,39,52.0
1,0,Fiber optic,0,1,1,1,1,0,6,3,50.0
1,0,DSL,0,1,0,0,1,1,4,2,50.0
1,0,Fiber optic,0,0,0,1,1,0,8,4,50.0
1,0,Fiber optic,0,0,1,0,0,0,40,20,50.0
1,0,Fiber optic,0,0,1,0,1,0,18,9,50.0
1,0,Fiber optic,1,0,0,0,0,1,8,4,50.0
1,0,Fiber optic,1,0,0,1,1,0,4,2,50.0
1,1,Fiber optic,0,1,0,0,1,0,34,17,50.0
1,1,Fiber optic,0,1,0,0,0,0,64,32,50.0
1,1,Fiber optic,0,0,1,0,0,1,29,14,48.3
