水温,pH,溶解氧,高锰酸盐指数,氨氮,总磷,总氮,电导率,浊度
11.82,8.98,8.87,9.11,0.03,0.08,1.02,474.8058333,37.02
11.81,8.92,8.7,9.12,0.03,0.08,1.03,475.0291667,37.36
11.7,8.9,8.61,9.15,0.03,0.08,1.03,475.3175,38.43
11.63,8.84,8.48,9.16,0.03,0.09,1.03,481.08,40.92
11.91,8.87,8.53,9.18,0.03,0.09,1,480.5,38.46
11.84,8.85,8.51,9.17,0.03,0.08,1.04,481.11,37.94
12.02,8.82,8.5,9.15,0.030138889,0.08,1.11,484.01,37.79
12.68,8.97,9.25,9.15,0.030347222,0.08,1.22,483.97,37.13
12.24,8.95,9.04,9.14,0.03,0.08,1.04,482.96,36.28
12.31,8.89,8.79,9.1,0.03,0.08,1.04,484.27,37.33
12.56,8.85,8.74,9.1,0.15,0.08,1.1,485.84,35.53
12.75,8.89,8.92,9.06,0.041527778,0.08,1.06,485.11,36.06
12.95,8.96,9.22,9.07,0.03,0.08,1.05,485.81,36.11
12.76,8.92,8.78,9.07,0.043125,0.08,1.04,486.21,34.66
12.78,8.87,8.58,9.05,0.15,0.08,1.06,487.38,37.32
12.75,8.87,8.51,9.04,0.16,0.09,1.17,486.15,41.67
12.52,8.86,8.37,9.03,0.067777778,0.09,1.05,486.34,40.72
12.49,8.85,8.39,9,0.071805556,0.08,1.02,487.92,39.76
12.69,8.84,8.37,8.98,0.075972222,0.09,1.04,487.74,40.19
12.29,8.76,8.15,8.92,0.080277778,0.09,1.07,485.69,38.12
11.96,8.71,7.98,8.93,0.084930556,0.09,1.09,485.44,56.86
11.52,8.67,7.77,8.97,0.089722222,0.09,1.05,485.09,55.76
11.22,8.66,7.88,8.95,0.084027778,0.09,1.11,486.56,45.59
11.06,8.65,7.98,8.95,0.087361111,0.09,1.21,486.81,42.61
10.86,8.6,7.95,8.92,0.092361111,0.09,1.2,488,40.78
10.91,8.63,8.15,8.9,0.095833333,0.09,1.17,487.66,38.05
10.96,8.51,7.94,8.88,0.090694444,0.1,1.13,489.07,39.68
11.17,8.54,8.1,8.83,0.084444444,0.1,1.12,488.94,39.1
11.25,8.56,8.26,8.81,0.11,0.1,1.1,489.27,38.59
11.29,8.57,8.34,8.81,0.088194444,0.1,1.08,489.27,38.16
11.27,8.58,8.3,8.79,0.08875,0.1,1.03,489.81,38.6
11.35,8.57,8.33,8.79,0.089236111,0.1,1.05,489.48,36.85
11.27,8.59,8.29,8.66,0.089722222,0.1,1.12,490.64,34.88
11.28,8.66,8.35,7.03,0.090277778,0.1,1.01,491.51,34.97
11.54,8.67,6.9,6.96,0.091319444,0.09,1.07,493.14,34.41
11.615,8.56,8.2,7.05,0.092291667,0.09,1.07,490.0716667,38.28
11.69,8.45,8.02,7.19,0.093055556,0.09,1.17,490.6558333,39.21
11.69,8.4,7.97,7.21,0.15,0.09,1.19,490.9654861,38.39
11.76,8.35,7.76,7.58,0.16,0.1,1.14,492.1358333,49.46
11.49,8.34,7.73,7.32,0.15,0.1,1.14,492.0151389,46.01
11.39,8.34,7.76,7.01,0.16,0.1,1.15,493.7175,40.04
11.46,8.38,7.93,6.82,0.16,0.09,1.1,492.8117361,34.6
11.59,8.43,7.96,6.72,0.122291667,0.09,1.06,493.2441667,33.32
11.91,8.31,7.87,6.54,0.16,0.09,1.09,493.9733333,32.12
12.34,8.34,8.04,6.65,0.16,0.08,1.11,494.4540278,32.14
12.4,8.27,7.84,6.54,0.17,0.08,1.13,494.91875,30.84
12.6,8.35,7.9,6.73,0.144652778,0.09,1.11,495.3071528,33.19
12.67,8.1,7.64,6.58,0.21,0.09,1.15,495.6915972,32.5
12.91,8.05,7.5,6.47,0.22,0.09,1.15,496.4461111,30.43
12.87,8.2,7.66,6.69,0.1675,0.09,1.21,496.8583333,34.25
12.86,8.22,7.62,6.61,0.170833333,0.09,1.32,497.6399306,35.8
12.92,8.24,7.14,6.45,0.18,0.09,1.4,497.9878472,35.31
13.22,8.21,7.33,6.82,0.22,0.09,1.33,498.8110417,37.75
13.31,8.17,7.22,6.75,0.184166667,0.09,1.45,499.6940278,37.53
