酒店名称	酒店类型	位置信息	起价	评分	点评数
如家睿柏·云酒店(哈尔滨中央大街店)	舒适型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥752起	4.2	共457条评论
和颐酒店(哈尔滨中央大街店)	高档型	近中央大街地铁站 · 中央大街/索菲亚大教堂/防洪纪念塔	¥1010起	4.9	共4342条评论
伯伦酒店(哈尔滨国际会展中心工大二校区店)	舒适型	近哈尔滨工业大学(二校区) · 龙塔/会展中心	¥521起	4.8	共221条评论
君航宾馆(哈尔滨太平国际机场店)	经济型	近野狼湖生态风景区 · 太平国际机场地区	¥129起	4.9	共178条评论
豪庭酒店(哈尔滨太平国际机场店)	舒适型	太平国际机场地区	¥519起	5.0	共9条评论
拉斐尔宾馆(哈尔滨百年巴洛克历史文化区店)	经济型	近中华巴洛克风情街 · 道外巴洛克	¥194起	4.2	共97条评论
如家睿柏·云酒店(哈尔滨冰雪大世界凯利广场万达店)	经济型	近哈尔滨松北万象汇 · 冰雪大世界/太阳岛	¥381起	4.6	共586条评论
亚季酒店(哈尔滨太平国际机场店)	高档型	近先富小学校 · 太平国际机场地区	¥610起	4.9	共4884条评论
哈尔滨财智会馆	经济型	近富力江湾新城 · 中央大街/索菲亚大教堂/防洪纪念塔	¥277起	4.9	共10条评论
麗枫酒店(哈尔滨火车站站前广场店)	舒适型	近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院	¥651起	4.8	共2209条评论
如家精选酒店(哈尔滨火车站医大一院地铁站店)	舒适型	近博物馆地铁站 · 哈尔滨站/果戈里商业区/医大一院	¥835起	4.9	共953条评论
如家睿柏·云酒店(哈尔滨西站万达广场店)	经济型	近哈尔滨西站 · 哈西万达广场	¥361起	4.9	共2205条评论
如家派柏·云酒店(哈尔滨西站医大二院黑龙江大学地铁站店)	经济型	近黑龙江大学 · 江南大学城	¥234起	4.5	共666条评论
苹果宾馆	经济型	近亚布力站 · 尚志	¥134起	4.9	共7条评论
麗枫酒店(哈尔滨冰雪大世界商业大学店)	舒适型	近龙川路地铁站 · 冰雪大世界/太阳岛	¥624起	4.7	共1620条评论
裕龙大酒店(哈尔滨太平国际机场店)	高档型	近太平镇人民政府 · 太平国际机场地区	¥452起	4.9	共4673条评论
如家酒店·neo(哈尔滨红旗大街建北街店)	经济型	近珠江路地铁站 · 龙塔/会展中心	¥489起	4.7	共319条评论
白玉兰酒店(哈尔滨火车站博物馆地铁站店)	舒适型	近博物馆地铁站 · 哈尔滨站/果戈里商业区/医大一院	¥495起	4.7	共784条评论
宜必思酒店(哈尔滨博物馆地铁站店)	舒适型	近博物馆地铁站 · 哈尔滨站/果戈里商业区/医大一院	¥535起	4.8	共265条评论
云·酒店(哈尔滨江北大学城店)	经济型	近江北大学城地铁站 · 江北大学城	¥327起	4.8	共449条评论
如家睿柏·云酒店(哈尔滨西大直街学府路店)	经济型	近学府路地铁站 · 江南大学城	¥163起	4.4	共664条评论
希岸酒店(哈尔滨火车站中央大街店)	舒适型	近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院	¥891起	4.8	共1780条评论
北岸公寓(哈尔滨冰雪大世界店)		近融创茂(哈尔滨店) · 冰雪大世界/太阳岛	¥213起	4.9	共29条评论
锦江之星风尚(哈尔滨中央大街友谊东路店)	经济型	近中华巴洛克风情街 · 道外巴洛克	¥413起	4.7	共635条评论
乐驻酒店(哈尔滨火车站索菲亚教堂店)	经济型	近哈尔滨站 · 道外巴洛克	¥243起	4.5	共436条评论
尚客优酒店(哈尔滨高铁站哈西万达广场店)	经济型	近哈尔滨西站 · 哈西万达广场	¥471起	4.7	共1335条评论
哈尔滨三江时尚宾馆		近新阳路 · 中央大街/索菲亚大教堂/防洪纪念塔	¥72起	4.8	共14条评论
艾美酒店(哈尔滨中央大街步行街店)	高档型	近新阳路 · 中央大街/索菲亚大教堂/防洪纪念塔	¥358起	4.5	共140条评论
哈尔滨香格里拉大酒店	五星级	近哈尔滨冰雪乐园 · 中央大街/索菲亚大教堂/防洪纪念塔	¥2588起	4.8	共3127条评论
北方国际青年旅舍(哈尔滨中央大街店)	经济型	近安发桥街 · 哈尔滨站/果戈里商业区/医大一院	¥167起	4.7	共261条评论
哈尔滨红硕园宾馆	经济型	近清真寺地铁站 · 道外巴洛克	¥208起	4.4	共63条评论
哈尔滨米店青年旅舍	经济型	近圣索菲亚教堂 · 中央大街/索菲亚大教堂/防洪纪念塔	¥66起	4.8	共318条评论
汉庭酒店(哈尔滨阿城印象城店)	经济型	近哈尔滨市阿城区第三中学校 · 阿城商业区	¥231起	4.8	共180条评论
IU酒店(哈尔滨松北区师范大学波塞冬水世界店)	经济型	近杉杉奥特莱斯广场(哈尔滨店)	¥336起	4.8	共265条评论
哈尔滨松北冰雪大世界智选假日酒店	高档型	近逐鲨体育(松北敖麓谷雅店) · 冰雪大世界/太阳岛	¥679起	4.8	共1354条评论
如家驿居酒店(哈尔滨火车站中央大街步行街店)	经济型	近卓展购物中心(哈尔滨店) · 中央大街/索菲亚大教堂/防洪纪念塔	¥510起	4.9	共14条评论
哈什国际青年旅舍(哈尔滨凯德广场店)	经济型	近学府路地铁站 · 江南大学城	¥90起	4.7	共312条评论
哈尔滨柏悦假日酒店(国际会展中心五十九中店)	经济型	近南直路地铁站 · 龙塔/会展中心	¥213起	4.6	共126条评论
哈尔滨乐林快捷宾馆	经济型	近黑龙江工程学院 · 工程大学/哈尔滨东站	¥100起	4.2	共32条评论
麗枫酒店(哈尔滨东站会展中心店)	舒适型	近哈尔滨市第一专科医院 · 工程大学/哈尔滨东站	¥491起	4.9	共1831条评论
哈尔滨甜蜜邮局青年旅舍(中央大街店)	经济型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥128起	4.7	共644条评论
哈尔滨有家主题式酒店公寓	经济型	近群力大道 · 群力新区	¥175起	4.9	共82条评论
哈西宾馆(哈尔滨医大一店)	经济型	近博物馆地铁站 · 哈尔滨站/果戈里商业区/医大一院	¥149起	4.5	共130条评论
哈尔滨群力银泰茂公寓	经济型	近银泰城 · 群力新区	¥209起	4.7	共450条评论
卡兹青年拼游旅舍(哈尔滨中央大街店)	经济型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥127起	4.7	共235条评论
你好酒店(哈尔滨工程大学地铁站店)	经济型	近烟厂地铁站 · 工程大学/哈尔滨东站	¥547起	4.9	共33条评论
悦客酒店(哈尔滨融创乐园冰雪大世界店)	经济型	近融创茂(哈尔滨店) · 冰雪大世界/太阳岛	¥345起	4.8	共308条评论
全季酒店(哈尔滨中央大街人民广场店)	舒适型	近人民广场地铁站 · 中央大街/索菲亚大教堂/防洪纪念塔	¥860起	4.8	共833条评论
汉庭酒店(哈尔滨冰雪大世界前进路店)	经济型	近建国街与通达街(路口) · 中央大街/索菲亚大教堂/防洪纪念塔	¥560起	4.9	共356条评论
如家驿居酒店(哈尔滨中央大街防洪纪念塔店)	经济型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥499起	4.7	共317条评论
