id,city,shop_name,address,contact_phone,business_hours,ranking,overall_rating,reviews_count,review_category,visitor_rating,visitor_review
,哈尔滨,远大购物中心(南岗店),哈尔滨市南岗区果戈里大街378号,0451-53678811,全年 09:30-21:00,第1名,4.6 分,(257条点评),全部(254)◆很好(177)◆好(64)◆一般(11)◆差(0)◆很差(2)◆,,哈尔滨销售最好的商场之一，全国百货销售十强（唯一单店入选）。地上六层，地下二层，其中地下二层为停车场有75个停车位，每小时收费5元，地下一层为好百客超市，地上一层以化妆品，名表，国际精品，金饰品为主，二层以男装为主，三层女鞋，包，少淑女装，四层内衣，黄金摆件，女正装等，五层运动休闲，户外，男鞋等，六层家品，家居，童装，进口锅具，瓷器及餐饮。每年十月十一月活动力度大，折扣好。
,哈尔滨,凯德广场(学府路店),黑龙江省哈尔滨市南岗区学府路1-1号近哈师大附中,0451-51990811,全年 周一-周四 09:30-21:30;全年 周五-周日 09:30-22:00,第2名,4.7 分,(188条点评),全部(174)◆很好(123)◆好(46)◆一般(4)◆差(0)◆很差(1)◆,商品：1 环境：3 服务：1,凯德广场的商户和凯德集团原来只是合作关系，以前一直以为是管理商户的。在凯德买东西，商户给开出的只是收据小票，没有任何注明商品售后，以后再去凯德购物，要加多顾虑了，和远大，万达不是一个档次的管理。
,哈尔滨,枫叶小镇奥特莱斯,黑龙江省哈尔滨市松北区中源大道16999号,4006033111,周一-周日9:30-21:00,第3名,4.5 分,(121条点评),全部(119)◆很好(82)◆好(21)◆一般(15)◆差(0)◆很差(1)◆,,枫叶小镇的设计概念源于意大利托斯卡纳风格，以名品折扣、旅游休闲、文化生活为三大基本业态，将使消费者感受与世界同步的购物折扣和休闲体验，享受欧洲小镇的建筑美景与活力四射的时尚氛围。现在还在逐步完善中，每次来这里都常有耳目一新的感觉，购物变成一种新的乐趣。
,哈尔滨,万达广场(哈尔滨哈西店),哈尔滨市南岗区中兴大道168号,0451-87765815,全年 全天开放,第4名,4.6 分,(138条点评),全部(133)◆很好(94)◆好(30)◆一般(7)◆差(1)◆很差(1)◆,商品：5 环境：5 服务：5,万达广场到时可以 大商场嘛，不过在万达的3号门出来 就是一条小吃街 叫金街，非常好 都是美食，3号门对面有一家叫泽瑞居手工饺子的店铺，饺子的颜值超级爆表，味道更是赞，能看出来 店面不是很大 老板很用心经营，便宜  干净 好吃 这就是硬道理啦
,哈尔滨,金安国际购物广场,黑龙江省哈尔滨市道里区中央大街69号,0451-88818888,全年 07:30-19:30,第5名,4.7 分,(115条点评),全部(106)◆很好(80)◆好(25)◆一般(1)◆差(0)◆很差(0)◆,商品：5 服务：5,对于这个地方我还是很喜欢的但是有个品牌名字叫judyjucie的一个品牌店的导购真不杂地我只试了一件衣服和一条短裤短裤穿不上给她了就是递的这个瞬间这个导购竟然摔起衣服了就是因为没有买那个动作太明显我想每个游客是不是都很讨厌类似于这种导购的行为我没有时间理她因为我是个有素质的人我去楼下投诉这个导购前台让我上楼主管没有下来因为赶火车实在没时间上去我想这个品牌也应该是哪个老板代理的在这里我真心想跟这个店的老板说导购换了严重影响顾客消费心情就想多试穿你家衣服想买都得看你家导购脸色那个导购是长头发梳吊辫如果别的携程的旅客们看见我这个真实的评论也请你们去这个店铺看看这个品牌的导购很美的衣服想买当时我都不敢买了
,哈尔滨,红博中央公园,黑龙江省哈尔滨市南岗区红旗大街339号,0451-82273777,全年 09:30-21:30,第6名,4.4 分,(72条点评),全部(69)◆很好(43)◆好(15)◆一般(9)◆差(2)◆很差(0)◆,,红博中央公园的夜，也是别有一番韵味，蛮可以在购物之余在此坐上一坐，白日里的喧嚣渐渐归于宁静，凉风习习吹来，这才是东北应有的夏夜节奏！公园外广场上的人们或聊天、或健身、或遛着娃儿和宠物，在周围五彩斑斓景观灯的映照下，享受着美好的生活！
,哈尔滨,西城红场,哈西大街299号（哈西大街与中兴大道交叉口西北角）,0451-88881717,10:00-20:00,第7名,4.7 分,(98条点评),全部(78)◆很好(58)◆好(16)◆一般(3)◆差(0)◆很差(1)◆,商品：5 环境：4 服务：1,环境我给很差，是为了反映消防楼梯防火门的事。现在西城红场很火，每次去等电梯排好久都排不上，好几次走的楼梯，走到负二层地下停车场却发现防火门被锁上了。走过三次，三次都是锁着的！防火疏散门啊，真是有火情所有人都跑不出去！这点真是太差劲了。
,哈尔滨,远大购物中心(群力店),黑龙江省哈尔滨市道里区群力大道1176号,0451-51891777,"全年 周五-周六 09:30-21:30;全年 周一-周四,周日 09:30-21:00",第8名,4.7 分,(51条点评),全部(49)◆很好(37)◆好(10)◆一般(1)◆差(1)◆很差(0)◆,商品：3 环境：3 服务：3,这里正在逐渐兴起，一年一变化了
,哈尔滨,凯德广场(埃德蒙顿路店),哈尔滨市道里区埃德蒙顿路38号,0451-51997990,全年 周一-周四 09:00-21:00;全年 周五-周日 09:00-21:30,第9名,4.7 分,(30条点评),全部(30)◆很好(23)◆好(5)◆一般(1)◆差(1)◆很差(0)◆,,综合性娱乐生活消费广场，电影院，超市，星巴克都有。
,哈尔滨,杉杉奥特莱斯广场(哈尔滨店),黑龙江省哈尔滨市利民开发区利民街道利民大道555号,0451-56893333,全年 10:00-21:00,第10名,3.8 分,(13条点评),全部(13)◆很好(8)◆好(1)◆一般(0)◆差(2)◆很差(2)◆,商品：5 环境：5 服务：1,8月12日在杉杉奥特莱斯买了一款包包，是德瑞芙的，当时少了一个钉，营业员说帮着返厂，一周内到货，于是交款后静等。今天是9月1日，商家一直说修好了，却始终不发货，说着急就退货吧。我想问，20天等待，一句退货就完事了？来购物就是为了退货吗？我没有别的要求，马上发货！
