id,city,food_name,likelihood_of_liking,restaurant_list,food_detail_link,food_image_link,food_description
,北京,北京烤鸭,48,"北平人家(小汤山店), 德缘烤鸭店(大栅栏店), 四季民福烤鸭店(王府井灯市口店)",https://you.ctrip.com/fooditem/beijing1/7756400-p1.html,https://dimg04.c-ctrip.com/images/1007180000015v8m15308_R_220_140.jpg,烤鸭是在世界上都享有盛名的北京知名菜式，只选用优质北京肉鸭，用带有天然香气的木材烤制，鸭皮色泽透润，肉质肥而不腻，外焦里嫩，令人入口难忘，口齿留香。细分的北京烤鸭又分为挂炉烤鸭和焖炉烤鸭，如今较多的店采用挂炉烤鸭制法。
,北京,炙子烤肉,0,,https://you.ctrip.com/fooditem/beijing1/24124877-p1.html,https://dimg04.c-ctrip.com/images/100q0e00000075qyvC4C2_R_220_140.jpg,炙子烤肉即人们常说的老北京烤肉，是北京非常具有当地特色的一种烤肉。早年间炙子烤肉的烤盘是由铁条钉成的，凹凸错落，能够使烤出来的多余油脂与肉分离，吃起来不会过分油腻。烤肉选用的木头也很讲究，要选用带有天然香气的木材，烤出来的肉更鲜香，来到北京一定不要错过这道特色美食。
,北京,卤煮,6,"京味居(南菜园店), 黄寺卤煮老北京酱肉馆(平乐园店), 小肠陈饭庄(南横街店), 北新桥卤煮老店, 东四卤煮店",https://you.ctrip.com/fooditem/beijing1/7896636-p1.html,https://dimg04.c-ctrip.com/images/tg/490/604/078/7ddd91dd732a4c318e3ebbc5efd441d6_R_220_140.jpg,卤煮是北京特有的一道传统小吃，传说本来是由五花肉制作，但因传入民间后人们觉得五花肉的价格太高，难以接受，便改为较为便宜的猪头肉和猪下水代替，现在卤煮较多的是用猪肠与猪肺在卤汤中煮制，还配上火烧一同食用，好吃又管饱。
,北京,涮羊肉,9,"羊大爷涮肉(动物园店), 羊大爷涮肉(温泉店), 星盛斋, 天地涮肉, 南门涮肉(安定门店), 友仁居(知春路店)",https://you.ctrip.com/fooditem/beijing1/7763686-p1.html,https://dimg04.c-ctrip.com/images/tg/516/793/650/95cf3d26546b4c8da74e70cdbf3b5377_R_220_140.jpg,说起北京的涮羊肉，人人皆知，有名的传统美食。因食材以羊肉为主，吃法简便、配上地道老北京铜锅，使羊肉味道更加鲜美，因此深受食客喜爱。
,北京,驴打滚,1,"海碗居(增光路店), 老回回(交大东路店), 护国寺小吃(护国寺总店), 清真牛街宝记豆汁店(牛街输入胡同店), 老磁器口豆汁店(天坛店), 清真·白记年糕(牛街北口店), 护国寺小吃店(地安门店), 姚记炒肝店(鼓楼店)",https://you.ctrip.com/fooditem/beijing1/7776685-p1.html,https://dimg04.c-ctrip.com/images/1006080000002zrqt1438_R_220_140.jpg,驴打滚是北京的一道知名小吃，主要由黄米面、黄豆面和红豆或红糖制作而成。黄米面卷着馅，再滚上黄豆面，三色的成品非常好看，口感甜香软糯，既有黄豆的香味，又有馅料的清甜，非常受欢迎。制作工序中撒上的黄豆面，犹如北京郊外野驴撒欢打滚时扬起的阵阵黄土，因此而得名“驴打滚”。
,北京,爆肚,19,"海碗居(增光路店), 北平三兄弟涮肉(簋街店), 清真·鸦儿李记·涮肉(和平里店), 京门老爆三(亦庄店), 北平盛世烤鸭店(劲松店), 小肠陈饭庄(南横街店), 老北京炸酱面大王(崇文门店)",https://you.ctrip.com/fooditem/beijing1/7756413-p1.html,https://dimg04.c-ctrip.com/images/tg/567/224/955/0bca577717684d458bbe4c3c4e67fced_R_220_140.jpg,爆肚是京城名吃，名字听起来很简单，但实际上很有讲究。肚分为牛肚和羊肚，牛肚就按部位分了四种，羊肚更分了九种，按水爆、油爆、汤爆、芫爆等手法制作，爆好的爆肚吃起来鲜嫩脆爽，蘸上酱料，美味无比。
,北京,炒肝儿,4,"京味居(南菜园店), 姚记炒肝店(簋街店), 满姐饺子(亚运村店), 老北京炸酱面大王(崇文门店)",https://you.ctrip.com/fooditem/beijing1/8020707-p1.html,https://dimg04.c-ctrip.com/images/tg/709/242/901/0b6c290a38de4f3da85d9df3212f4f37_R_220_140.jpg,炒肝是由宋代的“熬肝”和“炒肺”演变的一种传统小吃，以淀粉勾芡，将切好的熟肠段放入沸汤，再放入生猪肝、蒜酱、葱花、姜末等，然后撒上蒜泥，一碗热气腾腾的炒肝便出锅啦。汤汁晶莹透亮，猪肠肥滑软烂，肝嫩鲜香，醇厚味美。
,北京,糖火烧,1,"羊大爷涮肉(动物园店), 紫光园(东大桥店), 北京阳坊胜利饭店·餐厅(总部大楼店), 白魁老号饭庄(交道口店), 护国寺小吃(护国寺总店), 古铜老院爆肚涮肉·清真(双井店)",https://you.ctrip.com/fooditem/beijing1/7947187-p1.html,https://dimg04.c-ctrip.com/images/100i0k000000c3xvu8666_R_220_140.jpg,满族传统小吃，北京有名的早点之一。糖火烧的主料有面粉、红糖、桂花、芝麻油、芝麻酱等，制好的火烧要贴在炉子内壁上烤制，很考验火候的掌控能力。成品香甜味厚，外皮酥脆。
,北京,面茶,2,"南来顺涮肉(陶然亭店), 护国寺小吃(护国寺总店), 白魁老号饭庄(交道口店), 北京稻香村(恩济庄店), 清真马记面茶涮肉拉面",https://you.ctrip.com/fooditem/beijing1/7756422-p1.html,https://dimg04.c-ctrip.com/images/tg/191/954/917/f1e5e22d1fe5480c968baa751669b647_R_220_140.jpg,是北京非常具有特色的一道小吃。面茶不是茶，而是一种面食，是用黍子面或小米面煮成粥状，再淋上一层厚厚的芝麻酱，美味咸香。
,北京,艾窝窝,2,"海碗居(王府井店), 南来顺饭庄·清真(南菜园店), 老回回(交大东路店), 清真·白记年糕(牛街北口店), 东来顺饭庄(华龙街店), 清真牛街宝记豆汁店(牛街输入胡同店), 年糕杨(城乡店), 柳泉居饭庄",https://you.ctrip.com/fooditem/beijing1/7950989-p1.html,https://dimg04.c-ctrip.com/images/tg/164/061/715/9ca272b7480c47ab9eba0c826ce1258f_R_220_140.jpg,艾窝窝是一道历史悠久的北京风味小吃，主料是糯米粉和面粉，可以根据个人口味包入各种各样的馅料，上锅蒸熟。做好之后的艾窝窝洁白可人，再以红枣或山楂糕点缀，一白一红，煞是好看。以糯米制作的艾窝窝香甜绵软，深受孩子喜爱。
