,酒店名称,酒店类型,位置信息,起价,评分,点评数,最低价
0,如家睿柏·云酒店(哈尔滨中央大街店),舒适型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥752起,4.2,共457条评论,¥752
1,和颐酒店(哈尔滨中央大街店),高档型,近中央大街地铁站 · 中央大街/索菲亚大教堂/防洪纪念塔,¥1010起,4.9,共4342条评论,¥1010
2,伯伦酒店(哈尔滨国际会展中心工大二校区店),舒适型,近哈尔滨工业大学(二校区) · 龙塔/会展中心,¥521起,4.8,共221条评论,¥521
3,君航宾馆(哈尔滨太平国际机场店),经济型,近野狼湖生态风景区 · 太平国际机场地区,¥129起,4.9,共178条评论,¥129
4,豪庭酒店(哈尔滨太平国际机场店),舒适型,太平国际机场地区,¥519起,5.0,共9条评论,¥519
5,拉斐尔宾馆(哈尔滨百年巴洛克历史文化区店),经济型,近中华巴洛克风情街 · 道外巴洛克,¥194起,4.2,共97条评论,¥194
6,如家睿柏·云酒店(哈尔滨冰雪大世界凯利广场万达店),经济型,近哈尔滨松北万象汇 · 冰雪大世界/太阳岛,¥381起,4.6,共586条评论,¥381
7,亚季酒店(哈尔滨太平国际机场店),高档型,近先富小学校 · 太平国际机场地区,¥610起,4.9,共4884条评论,¥610
8,哈尔滨财智会馆,经济型,近富力江湾新城 · 中央大街/索菲亚大教堂/防洪纪念塔,¥277起,4.9,共10条评论,¥277
9,麗枫酒店(哈尔滨火车站站前广场店),舒适型,近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院,¥651起,4.8,共2209条评论,¥651
10,如家精选酒店(哈尔滨火车站医大一院地铁站店),舒适型,近博物馆地铁站 · 哈尔滨站/果戈里商业区/医大一院,¥835起,4.9,共953条评论,¥835
11,如家睿柏·云酒店(哈尔滨西站万达广场店),经济型,近哈尔滨西站 · 哈西万达广场,¥361起,4.9,共2205条评论,¥361
