城市	酒店名称	酒店类型	地址	报价	酒店排名	综合评分	点评数	最热评价
哈尔滨	亚季酒店(哈尔滨太平国际机场店)	高档型	哈尔滨道里区太平国际机场服务区三区	暂无报价	哈尔滨高档型酒店好评第33（共170家）	4.7	2525	服务特别好,房间干净,周边也有吃的。酒店位置很便利去机场很方便
哈尔滨	哈尔滨中央大街索菲亚美居酒店	高档型	哈尔滨道里区兆麟街92号	暂无报价	哈尔滨高档型酒店好评第28（共137家）	4.7	209	我果然没选错酒店,满意极了。很安静,一整夜好眠,推荐推荐
哈尔滨	北北大酒店(哈尔滨火车站站前广场店)		哈尔滨南岗区春申街2号	暂无报价	哈尔滨同档次酒店好评第1452（共9628家）	4.3	1140	不太方便。整体挺好,要是有个移动花洒就好了
哈尔滨	哈尔滨俊朗中央大酒店(中央大街店)	高档型	哈尔滨道里区中央大街西八道街12-3号	暂无报价	哈尔滨高档型酒店好评第111（共138家）	4.2	354	交通方便,离步行街很近,景点也很近。离步行街很近,打车方便,去景点方便
哈尔滨	芒果公寓式酒店(哈尔滨中央大街店)		哈尔滨道里区经纬街61号经纬360大厦B座806室	暂无报价	哈尔滨同档次酒店好评第1400（共9606家）	4.3	1529	位置极好,房间够大,电视好用。酒店位置很好,离圣索非亚教堂很近
哈尔滨	曼哈顿大酒店(哈尔滨中央大街索菲亚广场店)	高档型	哈尔滨道里区兆麟街57号	暂无报价	哈尔滨高档型酒店好评第120（共138家）	4.2	340	酒店位置太好了。位置很好,教堂和中央大街都很近
哈尔滨	棠枫艺术酒店(哈尔滨江畔店)	舒适型	哈尔滨道外区大新街152号	暂无报价	哈尔滨舒适型酒店好评第109（共170家）	4.4	306	床很大,房间很大,商旅舒心选择。挺好的
哈尔滨	哈尔滨祥云宾馆(太平国际机场店)		哈尔滨道里区太平镇先富村双庙子	暂无报价	哈尔滨同档次酒店好评第87（共10279家）	4.9	4996	非常满意。服务挺好的,接送很贴心
哈尔滨	哈尔滨精途酒店		哈尔滨道里区经纬街34号(靠近经纬街与尚志大街路口)	¥ 193起	哈尔滨同档次酒店好评第1242（共9628家）	4.4	768	价格划算,房间干净,服务好。对于本次入住,必须要给个好评
哈尔滨	金诺宾馆(哈尔滨太平国际机场店)		哈尔滨道里区太平国际机场空港一路	暂无报价	哈尔滨同档次酒店好评第777（共9536家）	4.6	200	酒店非常不错,各方面服务都细致周到
哈尔滨	麗枫酒店(哈尔滨公路大桥爱建店)	舒适型	哈尔滨道里区哈药路354号	暂无报价	哈尔滨舒适型酒店好评第70（共175家）	4.6	1595	非常好的酒店,前台服务热情。但是价格比中央大街的便宜好多
哈尔滨	哈尔滨中央大街华特酒店(索菲亚教堂店)	豪华型	哈尔滨道里区上游街5号	暂无报价	哈尔滨豪华型酒店好评第17（共24家）	4.5	882	离一些景点都很近总之推荐入住。环境也没的说,体验感非常Good
哈尔滨	鸿顺宾馆(哈尔滨太平国际机场店)		哈尔滨道里区太平镇先富村哈双路	暂无报价	哈尔滨同档次酒店好评第52（共9596家）	4.9	1935	很周到,房间很好,收拾干净。酒店位置很好,离机场很近很方便
哈尔滨	北北假日酒店(哈尔滨中央大街店)		哈尔滨道里区红星街10号	暂无报价	哈尔滨同档次酒店好评第91（共137家）	4.4	159	店员服务态度挺好的,性价比很高。第一晚住进去很冷
哈尔滨	哈尔滨和悦公寓(哈西万达广场店)		哈尔滨南岗区哈西万达广场SOHO公寓B座3A-323室	暂无报价	哈尔滨同档次酒店好评第1323（共9628家）	4.3	433	阿姨人很好卫生也很干净。很不错的公寓酒店,真的不错
哈尔滨	维也纳酒店(哈尔滨中央大街索菲亚店)	舒适型	哈尔滨道里区尚志大街29号(尚志大街与田地街交汇处)	暂无报价	哈尔滨舒适型酒店好评第8（共163家）	4.8	1842	002小哥哥前台服务很棒,赞赞赞。前台挺热情的
哈尔滨	哈尔滨昆仑大酒店(火车站店)	四星级	哈尔滨南岗区铁路街8号	暂无报价	哈尔滨四星级酒店好评第102（共120家）	4.2	137	楼下吃东西也比较方便。特别老的酒店,胜在位置好,出门就是哈站
哈尔滨	哈尔滨雅悦酒店(国际会展中心店)	高档型	哈尔滨南岗区先锋路318号	暂无报价	哈尔滨高档型酒店好评第30（共136家）	4.7	214	早餐好吃,有品位。下次出差还住,前台服务态度很好
哈尔滨	哈尔滨中央大街际丰假日酒店(防洪纪念塔店)	舒适型	哈尔滨道里区西二道街27号	¥ 2750起	哈尔滨舒适型酒店好评第31（共98家）	4.7	1046	这里的工作人员超级好。干净卫生,服务态度很好,位置便利
哈尔滨	永泰宾馆(哈尔滨太平国际机场店)		哈尔滨道里区太平镇先富村三区家属楼对面	暂无报价	哈尔滨同档次酒店好评第125（共9531家）	4.8	1572	很不错,房间很干净。干净整洁,住的很舒服
哈尔滨	瑞廷酒店(哈尔滨中央大街店)		哈尔滨道里区西十三道街46号	暂无报价	哈尔滨同档次酒店好评第1038（共9628家）	4.5	769	位置交通。服务态度好,家庭出行入住条件可以
哈尔滨	鸿运宾馆(哈尔滨太平国际机场店)		哈尔滨道里区空港一路太平镇三区道口1号	暂无报价	哈尔滨同档次酒店好评第419（共10464家）	4.8	198	接机送机服务态度很好,老板很热情。晚点了,晚上十二点多才到
哈尔滨	哈尔滨中央大街公馆酒店(索菲亚教堂店)		哈尔滨道里区西十四道街33号	暂无报价	哈尔滨同档次酒店好评第1624（共9628家）	4.1	136	物美价廉,便宜干净,前台服务好。酒店地理位置很好,是一家老一点的酒店
哈尔滨	民航空港宾馆(哈尔滨太平国际机场店)	舒适型	哈尔滨道里区太平镇先富小学对面	暂无报价	哈尔滨舒适型酒店好评第125（共224家）	4.5	172	酒店给换了贵的前台人很好态度也很好。离机场很近,有车接送
哈尔滨	袋鼠连锁宾馆(哈尔滨中央大街店)		哈尔滨道里区西二道街9号	暂无报价	哈尔滨同档次酒店好评第1383（共9628家）	4.3	848	酒店非常不错,各方面服务都细致周到。价格便宜
哈尔滨	7天优品酒店(哈尔滨中央大街索菲亚教堂店)	经济型	哈尔滨道里区石头道街22号	暂无报价	哈尔滨经济型酒店好评第82（共137家）	4.4	700	前台办理入住的小哥服务到位态度很好。非常非常非常非常非常好,方便快捷
