编号,酒店名称,最热评价,情感倾向,备注
1,亚季酒店(哈尔滨太平国际机场店),"服务特别好,房间干净,周边也有吃的。酒店位置很便利去机场很方便",正向,
2,哈尔滨中央大街索菲亚美居酒店,"我果然没选错酒店,满意极了。很安静,一整夜好眠,推荐推荐",正向,
3,北北大酒店(哈尔滨火车站站前广场店),"不太方便。整体挺好,要是有个移动花洒就好了",中性,
4,哈尔滨俊朗中央大酒店(中央大街店),"交通方便,离步行街很近,景点也很近。离步行街很近,打车方便,去景点方便",正向,
5,芒果公寓式酒店(哈尔滨中央大街店),"位置极好,房间够大,电视好用。酒店位置很好,离圣索非亚教堂很近",正向,
6,曼哈顿大酒店(哈尔滨中央大街索菲亚广场店),"酒店位置太好了。位置很好,教堂和中央大街都很近",中性,
7,棠枫艺术酒店(哈尔滨江畔店),"床很大,房间很大,商旅舒心选择。挺好的",正向,
8,哈尔滨祥云宾馆(太平国际机场店),"非常满意。服务挺好的,接送很贴心",正向,
9,哈尔滨精途酒店,"价格划算,房间干净,服务好。对于本次入住,必须要给个好评",中性,
10,金诺宾馆(哈尔滨太平国际机场店),"酒店非常不错,各方面服务都细致周到",正向,
11,麗枫酒店(哈尔滨公路大桥爱建店),"非常好的酒店,前台服务热情。但是价格比中央大街的便宜好多",负向,
12,哈尔滨中央大街华特酒店(索菲亚教堂店),"离一些景点都很近总之推荐入住。环境也没的说,体验感非常Good",正向,
13,鸿顺宾馆(哈尔滨太平国际机场店),"很周到,房间很好,收拾干净。酒店位置很好,离机场很近很方便",正向,
14,北北假日酒店(哈尔滨中央大街店),"店员服务态度挺好的,性价比很高。第一晚住进去很冷",中性,
15,哈尔滨和悦公寓(哈西万达广场店),"阿姨人很好卫生也很干净。很不错的公寓酒店,真的不错",正向,
16,维也纳酒店(哈尔滨中央大街索菲亚店),"002小哥哥前台服务很棒,赞赞赞。前台挺热情的",正向,
17,哈尔滨昆仑大酒店(火车站店),"楼下吃东西也比较方便。特别老的酒店,胜在位置好,出门就是哈站",中性,
18,哈尔滨雅悦酒店(国际会展中心店),"早餐好吃,有品位。下次出差还住,前台服务态度很好",正向,
19,哈尔滨中央大街际丰假日酒店(防洪纪念塔店),"这里的工作人员超级好。干净卫生,服务态度很好,位置便利",正向,
20,永泰宾馆(哈尔滨太平国际机场店),"很不错,房间很干净。干净整洁,住的很舒服",正向,
21,瑞廷酒店(哈尔滨中央大街店),"位置交通。服务态度好,家庭出行入住条件可以",正向,
22,鸿运宾馆(哈尔滨太平国际机场店),"接机送机服务态度很好,老板很热情。晚点了,晚上十二点多才到",负向,
23,哈尔滨中央大街公馆酒店(索菲亚教堂店),"物美价廉,便宜干净,前台服务好。酒店地理位置很好,是一家老一点的酒店",正向,
24,民航空港宾馆(哈尔滨太平国际机场店),"酒店给换了贵的前台人很好态度也很好。离机场很近,有车接送",中性,
25,袋鼠连锁宾馆(哈尔滨中央大街店),"酒店非常不错,各方面服务都细致周到。价格便宜",正向,
26,7天优品酒店(哈尔滨中央大街索菲亚教堂店),"前台办理入住的小哥服务到位态度很好。非常非常非常非常非常好,方便快捷",负向,
27,哈尔滨蓝翎酒店(中央大街店),"商家服务很好,热情周到。服务很好,前台很客气",正向,
28,凯悦之星连锁宾馆(哈站站前广场店),离哪里都很近的。非常满意性价比也很高,正向,
29,哈尔滨晚安假日宾馆(中央大街索菲亚教堂店),"酒店很好,没有评价里面说的那么差。房间很好,干净整洁,楼下就是中央大街",负向,
30,黑龙江金谷大厦(中央大街店),"但保护的还是蛮好的。前台小姐姐和保安小哥服务非常好,很赞",正向,
31,哈尔滨向日葵酒店(中央大街索菲亚教堂店),"总的来说还不错,各方面都还是令人满意的。位置是非常的好",正向,
32,哈尔滨机场宾馆,"离机场很近,步行10分钟到航站楼。宾馆条件一般,无早餐",负向,
33,哈尔滨中央大街大洋宾馆(索菲亚教堂店),"环境好干净卫生离车站也很近好评。位置不错,服务很好哦,性价比很高",正向,
34,豪滨假日酒店(哈尔滨火车站医大一院店),"可以,五星好评。位置很方便",中性,
35,惟景假日酒店(哈尔滨站中央大街店),"前台服务很好。房间也很干净,前台工作人员服务很好",中性,
36,和兴电竞宾馆(哈尔滨中央大街店),"打扫也很及时,地理位置也很好。整体住的还挺好",正向,
37,哈什国际青年旅舍(哈尔滨凯德广场店),"总的来说还不错,各方面都还是令人满意的。前台哥哥非常温柔,人老好说话了",正向,
38,新旺酒店式公寓(中央大街索非亚教堂店),"很大很干净,离中央大街也近,性价比很高。一如既往的好,五星好评,希望不要骄傲",正向,
